mesto,ocena,ime,kategorija,objave,vpisani,ogledi
346,A,ChainsmokersVEVO,music,164,11.9,9244014125
347,A-,MrSuicideSheep,entertainment,2424,11.9,5134858145
348,A+,Wow Kidz,entertainment,4550,12.0,6283496468
349,B+,Jennifer Lopez,music,124,11.9,236103587
350,A-,Jason Derulo,music,253,11.9,5890025196
351,A,Talking Tom,comedy,254,11.9,5081895371
352,B-,SAM SMITH,entertainment,12,11.9,106529558
353,B+,Sebastián Yatra,news,63,11.9,465071462
354,A,LazarBeam,games,1123,11.8,3777024239
355,A-,VICE,entertainment,2790,11.8,2461295072
356,A,Planeta das Gêmeas,entertainment,550,11.8,3048758803
357,A,Jkk Entertainment,comedy,105,11.8,3583340822
358,A-,DemiLovatoVEVO,music,165,11.8,4599113664
359,B+,iTownGamePlay *Terror&amp;Diversión*,entertainment,5761,11.8,3693451999
360,A,Wave Music - Bhojpuri,music,17837,11.8,6697327970
361,A-,Gordon Ramsay,entertainment,795,11.7,1975931945
362,B+,Rosanna Pansino,howto,720,11.7,2873344026
363,B+,NORMAN FAIT DES VIDÉOS,comedy,168,11.7,2276481788
364,A,Hear This Music,music,31,11.7,5877117146
365,A,IDEAS EN 5 MINUTOS,,2666,11.7,2066050418
366,B+,FunToys Collector Disney Toys Revi…,entertainment,2879,11.7,14835369520
367,B+,Drawblogs,entertainment,253,11.7,1194694834
368,A,LEGENDA FUNK,music,4717,11.6,2361896207
369,B+,CaseyNeistat,people,1016,11.6,2679913964
370,A-,BIGBANG,music,773,11.6,5501781286
371,A,Kwebbelkop,games,4184,11.6,4763022517
372,B,Zoella,howto,377,11.6,1112832175
373,A-,Cardi B,people,39,11.6,3455493379
374,B,Sky Does Everything,games,1955,11.6,3838832941
375,A-,Sandra Cires Art,entertainment,784,11.7,1846953463
376,A,Netflix,entertainment,3268,11.5,2278943097
377,A,TheGrefg,games,2615,11.5,3150560785
378,A,Kids Fun,entertainment,925,11.5,2785505031
379,A-,Katie Angel,music,358,11.6,1509529984
380,B+,Wassabi,entertainment,954,11.5,4249008045
381,A,Lyrical Lemonade,entertainment,344,11.4,4028662199
382,A-,FactTechz,entertainment,222,11.4,891040654
383,A,Kaykai Salaider,entertainment,256,11.4,2100473525
384,B,Nao FunFun,entertainment,121,11.4,2022349
385,A-,TazerCraft,games,3215,11.4,3972848277
386,B+,Matheus Yurley,entertainment,207,11.4,592776784
387,D-,Blossom,howto,271,11.4,3007736253
388,A-,AviciiOfficialVEVO,music,142,11.3,6723061672
389,B+,Everson Zoio,comedy,391,11.3,735892893
390,A,XpressTV,entertainment,339,11.3,2017543941
391,A,ABP NEWS HINDI,,53658,11.4,2006517210
392,A,SIS vs BRO,entertainment,319,11.3,4555405999
393,A,Worldwide Records Bhojpuri,music,2918,11.3,5326778006
394,A-,League of Legends,games,1027,11.3,3346404617
395,B+,Tfue,games,587,11.3,1097355738
396,A,White Hill Music,music,3799,11.4,4065374662
398,A,Познаватель,entertainment,349,11.2,4175581454
399,A,Enes Batur,games,1810,11.2,5436352329
400,A,FitDance,music,1354,11.2,3643851378
401,A,ShawnMendesVEVO,music,119,11.2,7229247563
403,B+,CrazyRussianHacker,tech,1430,11.2,2681684907
404,A-,Antrax,entertainment,395,11.2,1559962286
405,B,Dani Russo Tv,comedy,169,11.2,527571047
406,A,Genierock,music,1002,11.2,9216838364
407,A,Invento na Hora,entertainment,700,11.2,2042574349
408,B+,EU FICO LOKO,comedy,898,11.2,999545276
409,A,GRAMMY GOLD OFFICIAL,music,3672,11.1,10259180654
410,D-,HiMan,people,143,11.1,783665179
411,A-,Matt Steffanina,entertainment,310,11.1,1999242176
412,B+,Baby Big Mouth,entertainment,4041,11.1,11908871643
413,A,Jingle Toons,film,194,11.1,3696599965
414,A,KBS World TV,entertainment,38409,11.1,7519568469
415,A,Gato Galactico,music,1042,11.1,2617929471
416,A-,Dua Lipa,music,88,11.1,3817085688
417,A-,Tiana,entertainment,698,11.1,2734033504
418,B,5incominutos,entertainment,289,11.0,832352696
419,A-,Marmok,games,270,11.0,1675500135
420,A,TheWeekndVEVO,music,44,11.0,8127947738
421,A,shfa,film,465,10.9,4128830233
422,A,Rans Entertainment,entertainment,853,10.9,1636859989
423,A,Queen Official,music,797,10.9,5556671087
424,A-,F2Freestylers - Ultimate Soccer Sk…,sports,637,10.9,2140456950
425,A-,Мастерская Настро�…,entertainment,530,10.9,2379571697
426,B+,Miranda Sings,entertainment,827,10.8,2094231503
427,A-,theRadBrad,games,6433,10.8,4336154827
428,D-,Peppa Pig - Official Channel,film,303,10.7,3876356705
429,A,Saregama Music,music,3234,10.7,3125893741
430,B+,RiceGum,entertainment,318,10.7,2055869148
431,B+,Vete a la Versh,games,120,10.7,1647890197
432,A,Troom Troom Es,howto,991,10.7,2544768260
433,A-,Preston,games,3607,10.7,3452392236
434,B-,Meghan Trainor,people,16,10.7,3149274
435,A-,MAIKI021,entertainment,1217,10.7,1170499655
436,B+,ExpCaseros,howto,733,10.7,2092918150
437,B+,Farruko,music,129,10.7,728015307
438,A,IDEIAS INCRÍVEIS,howto,2651,10.7,1919227247
440,A-,As/Is,people,3971,10.7,10250219051
441,A-,Morgz,entertainment,606,10.7,1917080904
442,A-,CaptainSparklez,games,5053,10.7,3558314160
443,A-,BCC Trolling,games,3822,10.6,3076514380
444,A,Bounce Patrol - Kids Songs,music,163,10.6,6070844121
445,A,Super Polina,people,343,10.6,3047592505
446,A,Tlnovelas,entertainment,18547,10.6,5856494680
447,A-,Dolan Twins,comedy,251,10.6,1577705538
448,B+,RomanAtwood,entertainment,117,10.6,1495964493
449,A,Got Talent Global,entertainment,1422,10.6,4159903757
450,A,#Refugio Mental,entertainment,372,10.6,2210377904
451,B+,fouseyTUBE,entertainment,180,10.6,1690126018
452,A,JesseAndMike,entertainment,452,10.6,6847204651
453,B+,MyLifeAsEva,howto,271,10.6,1136587728
454,B+,Mejores Juguetes,entertainment,1321,10.5,6299335708
455,A-,MileyCyrusVEVO,music,67,10.5,3807078216
456,B,elliegoulding,music,70,10.5,149242496
457,B+,"SaraBeautyCorner - DIY, Comedy, Ma…",howto,115,10.5,1969213574
458,B+,Jesse,comedy,255,10.5,2105637849
459,A-,Galo Frito,comedy,430,10.5,1715596237
460,A+,Sesame Street,entertainment,2876,10.4,9112698270
461,A,El Reino a Jugar,education,398,10.4,4826794249
462,A,Volga Video,entertainment,33571,10.4,5826501728
463,A,AzzyLand,games,1235,10.4,3688651943
464,A,StarPlus,entertainment,8799,10.4,3159204088
465,A,TRANS7 OFFICIAL,entertainment,47937,10.4,4246376036
466,A,AdMe.ru - Сайт о творче…,entertainment,2575,10.4,2083871329
467,A,The LaBrant Fam,people,385,10.4,2925446217
468,B,zayn,music,11,10.3,49827736
470,A-,حقائق وأسرار,entertainment,761,10.3,1368759261
471,A,Aditya Music,music,16258,10.3,6695842556
472,A-,Gibby :),people,152,10.3,1989271714
473,D-,MrGear,tech,671,10.3,2649048563
474,A-,Round2hell,comedy,56,10.3,871501069
475,A,FAP TV,film,439,10.3,3990576926
476,A-,Its JoJo Siwa,entertainment,509,10.3,2630522907
477,A-,Bela Bagunça,entertainment,663,10.4,2086065599
478,A,ImagineDragonsVEVO,music,108,10.3,7925459963
479,B,Bethany Mota,howto,422,10.2,983202129
480,A,Desi Music Factory,music,74,10.2,1992460356
481,B+,AdamThomasMoran,comedy,522,10.2,2154096792
482,A,Camila Loures,entertainment,1290,10.2,1611048583
483,B+,Emily Tube,entertainment,663,10.2,3475131596
484,A-,Bie The Ska,entertainment,928,10.2,3066142538
485,A,Apple,tech,301,10.2,675628288
486,A,SiaVEVO,music,106,10.2,8116045503
487,B,Toys And Funny Kids Play Doh Carto…,entertainment,3774,10.2,3178368651
488,B+,VitalyzdTv,entertainment,326,10.2,1690961588
489,A,Peppa Pig Español Latino - Canal …,film,368,10.1,1975522428
490,A-,TED-Ed,education,1593,10.1,1568924656
491,A-,FifthHarmonyVEVO,music,87,10.1,5996439390
492,A-,Brent Rivera,entertainment,320,10.1,1589944337
493,D-,Bart Baker,comedy,201,10.1,3102351531
494,A-,PlayHard,games,1616,10.0,1240119003
495,D-,Atlantic Records,music,1028,10.0,8439982194
496,B+,Давай поиграем в и�…,people,220,10.0,3125262233
497,A-,Talking Tom and Friends,entertainment,314,10.0,3240827056
498,A-,PDK Films,entertainment,136,10.0,2495441875
499,A-,wifistudy,education,14869,10.0,1267930949
500,B+,Ami Rodriguez,entertainment,279,10.0,1310096240
501,A-,ExplosmEntertainment,comedy,590,10.0,2830238987
502,A-,Kurzgesagt – In a Nutshell,education,107,10.0,761888133
503,B+,CrashCourse,education,1174,9.98,1148455490
504,A,Crafty Panda,howto,162,9.99,2271818854
505,A,Vijay Television,entertainment,22092,9.98,6995139256
506,B+,Dr. Vivek Bindra: Motivational Spe…,education,414,9.96,557584874
507,A-,#Refúgio Mental,entertainment,399,9.94,1546912756
508,A,zbing z.,games,1735,9.92,3985707834
509,A-,twenty one pilots,music,114,9.92,2096232307
510,B+,Juanpa Zurita,comedy,184,9.9,594137663
511,B,TheSyndicateProject,games,3327,9.9,2083513638
512,A-,PitbullVEVO,music,195,9.9,8049927458
513,A-,The World Adventures हिन्�…,people,353,9.91,1170635351
514,B,ToyMonster,education,692,9.9,3617566226
515,A-,BuzzFeed Multiplayer,people,1822,9.9,4974126056
